index,HS-6 code,HS-10 code,MTI-6 code,소분류 품목명
214,854370,8543703000,814910,전자번역기ㆍ전자사전
215,854370,8543704090,999000,기타
216,854370,8543705000,814910,유선전신용ㆍ유선전화용 기기 또는 유선전신용ㆍ유선전화용 통신망 연결용 제품
217,854370,8543709010,822490,고주파증폭기
218,854370,8543709020,836200,디텍터(소호 제8541.51호의 것을 제외한다)
219,854370,8543709040,814910,비디오게임 콘솔용 무선 적외선 원격조절장치
220,854370,8543709050,814910,디지털 비행 데이터 기록 장치
221,854370,8543709060,814910,"휴대용 배터리로 작동하는 전자 리더기(문자, 정지화상 또는 음성파일의 기록 및 재생용으로 한정한다)"
222,854370,8543709070,814910,디지털신호처리기(사운드 믹싱을 위해 유선 또는 무선 통신망에 연결되는 것으로 한정한다)
223,854370,8543709090,814910,기타
224,845129,8451290000,721100,기타
225,842890,8428901000,712190,광산용 왜건푸셔ㆍ기관차ㆍ화차의 트레버서ㆍ화차 경사기나 이와 유사한 철도화차 취급 장비
226,842890,8428909000,712190,기타
227,391810,3918101000,310100,폴리염화비닐로 만든 것
228,391810,3918102000,310100,염화비닐과 초산비닐의 공중합체로 만든 것
229,391810,3918109000,310100,기타
230,730629,7306291000,614120,케이싱
231,730629,7306292000,614120,튜빙
232,390740,3907400000,214013,폴리카보네이트
233,300214,3002140000,226200,"면역물품(혼합된 것에 한정하며, 일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것은 제외한다)"
234,300214,3002141000,226200,"소호 제2925.29호, 제2933.29호, 제2934.99호, 제2937.90.1000호, 제3002.90.3010호, 제3907.20호의 것[농약원제(農藥原劑)(？농약관리법？에 따라 등록된 것으로 한정한다)는 제외한다]"
235,300214,3002149000,226200,기타
236,850421,8504211000,841230,계기용 변압기
237,850421,8504219010,841210,용량이 100킬로볼트암페어 이하인 것
238,850421,8504219020,841210,용량이 100킬로볼트암페어 초과 650킬로볼트암페어 이하인 것
239,840991,8409911000,742010,제87류의 차량용
240,840991,8409912000,746330,아웃보드(outboard) 모터의 것
241,840991,8409919000,711130,기타
242,290243,2902430000,212020,파라-크실렌
243,842952,8429521011,725190,신품
244,842952,8429521012,725190,중고품
245,842952,8429521021,725190,신품
246,842952,8429521022,725190,중고품
247,842952,8429521090,725190,기타
248,842952,8429529000,725190,기타
249,851220,8512201010,826910,발광다이오드(엘이디)의 것
250,851220,8512201090,826910,기타
251,851220,8512202010,826910,발광다이오드(엘이디)의 것
252,851220,8512202090,826910,기타
253,852721,8527211000,822300,카세트형
254,852721,8527212010,822300,디지털 무선 데이터 시스템 신호를 수신 및 디코딩할 수 있는 것
255,852721,8527212090,822300,기타
256,852721,8527213010,822300,디지털 무선 데이터 시스템 신호를 수신 및 디코딩할 수 있는 것
257,852721,8527213090,822300,기타
258,852721,8527219010,822300,디지털 무선 데이터 시스템 신호를 수신 및 디코딩할 수 있는 것
259,852721,8527219090,822300,기타
260,841911,8419110000,721610,가스식인 즉시식 물가열기
261,841112,8411121000,747210,항공기용
262,841112,8411129010,746320,선박용
263,841112,8411129090,711150,기타
264,845020,8450200000,824120,1회의 세탁 능력이 건조한 섬유제품의 중량으로 10킬로그램을 초과하는 것
265,841430,8414301000,711220,소비전력이 11킬로와트 미만인 것
266,841430,8414302000,711220,소비전력이 11킬로와트 이상인 것
267,730890,7308901000,615290,수문
268,730890,7308909000,615290,기타
269,870332,8703321010,741170,신차
270,870332,8703321020,741170,중고차
271,870332,8703329010,741170,신차
272,870332,8703329020,741170,중고차
273,870421,8704211010,741290,신차
274,870421,8704211020,741290,중고차
275,870421,8704219010,741290,냉동차ㆍ냉장차
276,870421,8704219020,741290,탱크차
277,870421,8704219090,741290,기타
278,860310,8603101000,744100,객차
279,860310,8603102000,744100,화차
280,281512,2815120000,228300,수용액(소다액이나 액체 상태의 소다)
281,710691,7106911000,111200,은의 함유량이 전 중량의 100분의 99.99 이상인 것
282,710691,7106919000,111200,기타
283,481019,4810191000,252200,인쇄용ㆍ필기용 종이와 판지
284,481019,4810199000,252600,기타
285,870321,8703217000,741150,신차
286,870321,8703218000,741150,중고차
287,190230,1902301010,16400,라면
288,190230,1902301090,16400,기타
289,190230,1902309000,16400,기타
290,721049,7210491010,613410,인장강도가 340메가파스칼 이상인 것
291,721049,7210491090,613410,기타
292,721049,7210499010,613410,인장강도가 340메가파스칼 이상인 것
293,721049,7210499090,613410,기타
294,843149,8431491000,725130,유압브레이커
295,843149,8431492000,725130,크러셔(crusher)
296,843149,8431499000,725130,기타
297,721070,7210701000,613430,두께가 4.75밀리미터 이상의 것
298,721070,7210702000,613430,두께가 4.75밀리미터 미만의 것
299,390120,3901200000,214002,폴리에틸렌(비중이 0.94 이상으로 한정한다)
300,390120,3901209000,214002,기타
301,382219,3822191000,226200,면역물품
302,382219,3822192011,229090,"플라스틱으로 만든 그 밖의 판, 시트(sheet), 필름, 박(箔)과 스트립(strip)의 것"
303,382219,3822192012,229090,플라스틱으로 만든 그 밖의 제품
304,382219,3822192013,229090,"종이, 판지, 셀룰로오스워딩, 셀룰로오스 섬유의 웹(web)[제48류의 주 제8호의 롤 모양이나 시트(sheet) 모양으로 한정한다]"
305,382219,3822192014,229090,리트머스 시험지와 그 밖의 이와 유사한 시험지
306,382219,3822192019,229090,기타
307,382219,3822192020,229090,조제된 것(뒷편을 보강하지 않은 것으로 한정한다)
308,382219,3822192091,229090,"플라스틱으로 만든 그 밖의 판, 시트(sheet), 필름, 박(箔)과 스트립(strip)의 것"
309,382219,3822192092,229090,플라스틱으로 만든 그 밖의 제품
310,382219,3822192093,229090,"종이, 판지, 셀룰로오스워딩, 셀룰로오스 섬유의 웹(web)[제48류의 주 제8호의 롤 모양이나 시트(sheet) 모양으로 한정한다]"
311,382219,3822192099,229090,기타
312,382219,3822193011,229090,"플라스틱으로 만든 그 밖의 판, 시트(sheet), 필름, 박(箔)과 스트립(strip)의 것"
313,382219,3822193012,229090,플라스틱으로 만든 그 밖의 제품
314,382219,3822193013,229090,"종이, 판지, 셀룰로오스워딩, 셀룰로오스 섬유의 웹(web)[제48류의 주 제8호의 롤 모양이나 시트(sheet) 모양으로 한정한다]"
315,382219,3822193014,229090,리트머스 시험지와 그 밖의 이와 유사한 시험지
316,382219,3822193019,229090,기타
317,382219,3822193020,229090,조제된 것(뒷편을 보강하지 않은 것으로 한정한다)
318,382219,3822193091,229090,"플라스틱으로 만든 그 밖의 판, 시트(sheet), 필름, 박(箔)과 스트립(strip)의 것"
319,382219,3822193092,229090,플라스틱으로 만든 그 밖의 제품
320,382219,3822193093,229090,"종이, 판지, 셀룰로오스워딩, 셀룰로오스 섬유의 웹(web)[제48류의 주 제8호의 롤 모양이나 시트(sheet) 모양으로 한정한다]"
321,382219,3822193099,229090,기타
322,852589,8525891000,812410,"초소형 특수카메라(필기구, 버튼, 안경, 시계, USB 메모리 등 일상소품이나 다른 전기기기에 장착되었거나 장착되도록 설계제작된 것)"
323,852589,8525892000,812410,텔레비전 카메라
324,852589,8525893000,821490,디지털 카메라
325,852589,8525899000,821410,기타
326,720851,7208511000,613110,인장강도가 490메가파스칼 이상인 것
327,720851,7208519000,613110,기타
328,741110,7411100000,622260,정제한 구리로 만든 것
329,854449,8544491011,842140,전압이 80볼트 이하인 것
330,854449,8544491012,842140,"전압이 80볼트 초과 1,000볼트 이하인 것"
331,854449,8544491090,841510,기타
332,854449,8544492011,842140,전압이 80볼트 이하인 것
333,854449,8544492012,842140,"전압이 80볼트 초과 1,000볼트 이하인 것"
334,854449,8544492090,841510,기타
335,854449,8544499011,842140,전압이 80볼트 이하인 것
336,854449,8544499012,842140,"전압이 80볼트 초과 1,000볼트 이하인 것"
337,854449,8544499090,841510,기타
338,721633,7216333000,611110,높이가 300밀리미터 미만인 것
339,721633,7216334000,611110,높이가 300밀리미터 이상 600밀리미터 이하인 것
340,721633,7216335000,611110,높이가 600밀리미터를 초과하는 것
341,854460,8544601010,841520,플라스틱 절연전선
342,854460,8544601090,841520,기타
343,854460,8544602010,841520,플라스틱 절연전선
344,854460,8544602090,841520,기타
345,854460,8544603010,841520,플라스틱 절연전선
346,854460,8544603090,841520,기타
347,730661,7306611010,614120,아연도금한 것
348,730661,7306611090,614120,기타
349,730661,7306612000,614140,스테인리스강으로 만든 것
350,730661,7306613000,614150,그 밖의 합금강으로 만든 것
351,401120,4011201010,320320,림의 지름이 49.53센티미터 미만인 것
352,401120,4011201090,320320,기타
353,401120,4011202010,320320,림의 지름이 49.53센티미터 미만인 것
354,401120,4011202090,320320,기타
355,401120,4011209000,320320,기타
356,200899,2008991000,16900,포도
357,200899,2008992000,16900,사과
358,200899,2008993000,16900,팝콘
359,200899,2008994000,16900,소금에 절인 초피
360,200899,2008995010,46900,김
361,200899,2008995090,46900,기타
362,200899,2008999000,16900,기타
363,842951,8429511011,725190,신품
364,842951,8429511012,725190,중고품
365,842951,8429511021,725190,신품
366,842951,8429511022,725190,중고품
367,842951,8429511031,725190,신품
368,842951,8429511032,725190,중고품
369,842951,8429511091,725190,신품
370,842951,8429511092,725190,중고품
371,842951,8429519000,725190,기타
372,790120,7901201000,626110,아연-알루미늄 합금
373,790120,7901209000,626110,기타
374,271320,2713200000,133900,석유역청(瀝靑)
375,721310,7213100000,612110,압연공정에서 발생하는 톱니모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 모양으로 된 것
376,310520,3105200000,234000,질소ㆍ인ㆍ칼륨을 함유한 광물성 비료나 화학비료
377,390220,3902200000,214090,폴리이소부틸렌
378,321410,3214101060,229090,고무를 기본 재료로 한 것
379,321410,3214101080,229090,수지매스틱과 수지시멘트
380,321410,3214101090,229090,기타
381,321410,3214102000,229090,도장용 충전제
382,321410,3214109000,229090,기타
383,390690,3906901000,214090,폴리아크릴아미드
384,390690,3906909000,214008,기타
385,390230,3902300000,214004,프로필렌 공중합체
386,380893,3808931000,226110,제초제
387,380893,3808932000,226110,발아억제제
388,380893,3808933000,226110,식물성장조절제
389,854232,8542321010,831110,디램
390,854232,8542321020,831110,에스램
391,854232,8542321030,831110,플래시 메모리
392,854232,8542321090,831110,기타
393,854232,8542322000,831110,하이브리드 집적회로
394,854232,8542323000,831110,복합구조칩 집적회로
395,854232,8542324000,831110,복합부품 집적회로(MCOs)
396,854232,8542324030,831110,제8517호의 기기에 전용되거나 주로 사용되는 것
397,240411,2404110000,290010,담배나 재구성한 담배를 함유한 것
398,720917,7209171000,613310,인장강도가 340메가파스칼 이상인 것
399,720917,7209179000,613310,기타
400,720916,7209161000,613310,인장강도가 340메가파스칼 이상인 것
401,720916,7209169000,613310,기타
402,840999,8409992000,742000,제87류의차량용
403,840999,8409993030,746340,"출력이2,000킬로와트를초과하는내연기관의것"
404,840999,8409994010,711130,제8429호 기계용
405,840999,8409994090,711130,기타
406,840999,8409995000,711130,발전용
407,840999,8409996000,744200,철도차량용
408,840999,8409997000,742000,제87류의 차량용
409,840999,8409998010,746340,출력이 300킬로와트 이하인 내연기관의 것
410,840999,8409998020,746340,"출력이 300킬로와트 초과 2,000킬로와트 이하인 내연기관의 것"
411,840999,8409998030,746340,"출력이 2,000킬로와트를 초과하는 내연기관의 것"
412,840999,8409999000,711130,기타
413,840999,8409999090,711130,기타
414,121221,1212211010,44100,건조한 것
415,121221,1212211020,44100,냉장한 것
416,121221,1212211030,44100,냉동한 것
417,121221,1212211090,44100,기타
418,121221,1212212010,44300,건조한 것
419,121221,1212212020,44300,염장한 것
420,121221,1212212030,44300,냉장한 것
421,121221,1212212040,44300,냉동한 것
422,121221,1212212090,44300,기타
423,121221,1212213010,44200,건조한 것
424,121221,1212213020,44200,냉장한 것
425,121221,1212213030,44200,냉동한 것
426,121221,1212213090,44200,기타
427,121221,1212214010,44900,신선한 것
428,121221,1212214020,44900,냉장한 것
429,121221,1212214030,44900,냉동한 것
430,121221,1212214090,44900,기타
431,121221,1212215010,44900,염장한 것
432,121221,1212215020,44900,냉장한 것
433,121221,1212215030,44900,냉동한 것
434,121221,1212215090,44900,기타
435,121221,1212216010,44900,냉동한 것
436,121221,1212216090,44900,기타
437,121221,1212217011,44900,냉동한 것
438,121221,1212217019,44900,기타
439,121221,1212217021,44900,냉동한 것
440,121221,1212217029,44900,기타
441,121221,1212217031,44900,냉동한 것
442,121221,1212217039,44900,기타
443,121221,1212218011,44900,냉동한 것
444,121221,1212218019,44900,기타
445,121221,1212218021,44900,냉동한 것
446,121221,1212218029,44900,기타
447,121221,1212218031,44900,냉동한 것
448,121221,1212218039,44900,기타
449,121221,1212219011,44900,냉동한 것
450,121221,1212219019,44900,기타
451,121221,1212219091,44900,냉동한 것
452,121221,1212219099,44900,기타
453,720827,7208271000,613210,인장강도가 490메가파스칼 이상인 것
454,720827,7208279000,613210,기타
455,732690,7326901000,721100,방직기계용 보빈(bobbin)
456,732690,7326909000,617290,기타
457,240220,2402201000,15420,필터담배
458,240220,2402209000,15420,기타
459,848071,8480710000,753200,사출식이나 압축식
460,851762,8517621010,811310,유선통신용
461,851762,8517621020,812720,무선통신용
462,851762,8517622030,811310,유선통신용
463,851762,8517622040,812200,무선통신용
464,851762,8517622090,811220,기타
465,851762,8517623010,812720,유선통신용
466,851762,8517623020,812720,무선통신용
467,851762,8517623310,811310,광중계장치
468,851762,8517623390,811310,기타
469,851762,8517623430,811390,모뎀(모뎀카드를포함한다)
470,851762,8517623490,811390,기타
471,851762,8517623900,811390,기타
472,851762,8517624010,811900,키-폰
473,851762,8517625000,812200,무선전화용ㆍ무선전신용송신기기
474,851762,8517626031,812310,워키토키세트
475,851762,8517626039,812310,기타
476,851762,8517626050,812710,무선통신용교환기
477,851762,8517626060,812720,무선통신용중계기
478,851762,8517626090,812720,기타
479,851762,8517629000,812720,기타
480,851762,8517629010,811390,자동자료처리기계에 결합되거나 연결되어 사용되는 종류의 것
481,851762,8517629020,811390,그 밖의 유선통신용
